name,n_specimens,obs_max_coeff_raw,weight_bound,psi_grid_rms,S1,S1_conf,ST,ST_conf
<I₄z-1>·<E_z>,2,0.012173,1.0,0.5236060919660387,-0.021224906409217946,0.02811500822607427,0.1225676049078977,0.013685092331376108
b_z E_z²,12,2.8850238162903126,1.0,0.2648997905751361,0.020752681980848158,0.031271060600353076,0.11848149306414976,0.012686784934639265
(<I₄D1-1>)³,1,0.023572,1.0,1.398781203314038,0.03368562203627716,0.03089751443791619,0.11810774290364105,0.012132766721872338
exp(<I₄z-1>)-1,2,0.016099,1.0,8.189639648539492,0.034982971838355824,0.031170119809104963,0.11522220910711285,0.012631932646617071
<E_z>,7,1.7593,1.0,0.42830892821976496,0.01560023815189702,0.027902974763757523,0.11479670406403997,0.013517392329680977
<I₄D2-1>,4,1.0702,1.0,0.8588836186479157,0.029308965593833808,0.029473502278199098,0.11340005696819427,0.012752879452508036
(<I₄D2-1>)³,2,0.023564,1.0,1.398781203314038,0.011280856529343708,0.02416805827281094,0.11293992492141185,0.012895556100166808
(<I₄z-1>)³,1,0.018348,1.0,1.4130084578193096,0.017612172520542296,0.028034868256899232,0.11290481658375323,0.015634170232169564
I₈D1D2,12,3.0141,1.0,1.7609835602184278,-0.017119357046892315,0.03280561381455425,0.1112781064748297,0.012844125309946228
<I₄z-1>,5,0.9969,1.0,0.8607070715214403,-0.011712628510693686,0.025173416832725573,0.11047793668728337,0.012010028690941536
<I₄D1-1>,4,1.1688,1.0,0.8588836186479157,0.02849499854915839,0.031152459392672256,0.10790985532428611,0.011601065445512291
<I₄z-1>·<I₄D2-1>,1,0.0075835,1.0,1.0479884094316272,-0.009187855984571728,0.026432840000203597,0.10608226741293723,0.01291343806356806
<I₁-3>·<E_z>,1,0.0020865,1.0,0.9084480760312253,-0.0059578773961177,0.02534451831517989,0.09497679834074318,0.011045566672576789
<I₂-3>·<E_z>,3,0.062301,1.0,1.7074847471866033,-0.014701351203570502,0.0314057827398369,0.08456869549392199,0.010381172581950295
<I₁-3>·<E_θ>,1,0.01412,1.0,1.9477996881650594,0.005955480901885538,0.02316425596366644,0.07765225586297088,0.0119219961758143
b_θz <E_θ><E_z>,12,13.012938509748402,1.0,0.3193367057748478,0.01023810861264741,0.022218399325837773,0.07141313901545969,0.008415341872979742
b_th E_θ²,12,0.17602859198843973,1.0,1.0073688766164364,0.02022537092293021,0.023158737192386748,0.07017986643556103,0.011558706541967553
I₂-3,4,0.13947,1.0,3.3984764616116645,0.018480401627884144,0.02193451367388404,0.06943471878802704,0.0095033942998186
<E_θ>,4,1.1852,1.0,0.7352522831438819,0.013674337671149084,0.022343194392779625,0.0665667482449533,0.010087429701633836
(<I₄θ-1>)³,2,39.438,1.0,12.004041706510609,0.014206260063046648,0.02205541401206125,0.06602955191627013,0.009354017470884234
<I₄θ-1>,2,0.27265,1.0,1.4737105498270213,0.02304749855195171,0.023215484803647983,0.06409291838159004,0.00914176283009306
<I₂-3>ln(1+<I₂-3>),3,0.066419,1.0,6.629887530100487,-0.014296910395800265,0.023561607178249813,0.06246406398119923,0.007487754127302811
I₁-3,3,0.012798,1.0,2.1516701994601934,0.004465102556240597,0.018682088810090012,0.05434829868043676,0.007074574819979527
