name,n_specimens,obs_max_coeff_raw,weight_bound,psi_grid_rms,S1,S1_conf,ST,ST_conf
(<I₄θ-1>)³,2,39.438,1.0,12.004041706510609,0.35695945831807635,0.07134758099869185,0.6861820713784309,0.062241214873843945
<I₂-3>ln(1+<I₂-3>),3,0.066419,1.0,6.629887530100487,0.006855775528410689,0.0548825407577978,0.2867569456484562,0.030204646764470853
exp(<I₄z-1>)-1,2,0.016099,1.0,8.189639648539492,0.0790578655530535,0.046447891520441056,0.2838887257787796,0.026416768581206156
I₂-3,4,0.13947,1.0,3.3984764616116645,-0.0022060903747944793,0.03063801736299479,0.10815275218798494,0.012391799535926565
<I₁-3>·<E_θ>,1,0.01412,1.0,1.9477996881650594,-0.014927779024679799,0.01784105098880231,0.04594449856287877,0.005432374707139323
I₁-3,3,0.012798,1.0,2.1516701994601934,0.0051050267602811205,0.01703672959825128,0.03985554734750085,0.005109196743269762
<I₂-3>·<E_z>,3,0.062301,1.0,1.7074847471866033,-0.0045893232022565095,0.012568352247889502,0.025959511469380674,0.002915951467453342
I₈D1D2,12,3.0141,1.0,1.7609835602184278,-0.00026662143026831965,0.014508247735392273,0.023413206348768745,0.002769874665795669
<I₄θ-1>,2,0.27265,1.0,1.4737105498270213,-0.005158007926786981,0.013201645829849638,0.022929554205226178,0.0027378492123858603
(<I₄z-1>)³,1,0.018348,1.0,1.4130084578193096,0.0028307499628733037,0.011482709458596588,0.01659684510543746,0.0021312986925843894
(<I₄D1-1>)³,1,0.023572,1.0,1.398781203314038,0.003826219046656566,0.010008763864259461,0.015968900508365802,0.0019878163703121047
(<I₄D2-1>)³,2,0.023564,1.0,1.398781203314038,-0.002175276625438629,0.010413596760039933,0.015433611631721434,0.0019875521800338854
b_th E_θ²,12,0.17602859198843973,1.0,1.0073688766164364,0.00650911819823495,0.009824384499403172,0.012443291795994012,0.0013709049446837525
<I₄z-1>·<I₄D2-1>,1,0.0075835,1.0,1.0479884094316272,0.0003261551739494914,0.008746290026651973,0.009496296872850089,0.0012562905938354387
<I₁-3>·<E_z>,1,0.0020865,1.0,0.9084480760312253,0.005531117972703211,0.006588161414472854,0.00832876960068973,0.0008996123373144182
<I₄D2-1>,4,1.0702,1.0,0.8588836186479157,0.003472072739979738,0.007307461344476698,0.006408732986459431,0.00072881516561661
<I₄D1-1>,4,1.1688,1.0,0.8588836186479157,0.005249969742147507,0.007602833463921688,0.006231366840528118,0.0006814757385529481
<E_θ>,4,1.1852,1.0,0.7352522831438819,8.289018979210632e-05,0.006489075352294681,0.005770997792820657,0.0006479059536071857
<I₄z-1>,5,0.9969,1.0,0.8607070715214403,0.002540801438017329,0.0055460270316741835,0.0050410341819515396,0.0007287961135024439
<I₄z-1>·<E_z>,2,0.012173,1.0,0.5236060919660387,-0.0015483771496090353,0.004396502687559936,0.0022904228213204572,0.0002816129939907099
<E_z>,7,1.7593,1.0,0.42830892821976496,0.0008826718534821543,0.0032746701415429275,0.0015095851721590556,0.00017557069707881188
b_θz <E_θ><E_z>,12,13.012938509748402,1.0,0.3193367057748478,0.0042117524490288445,0.0024613128977218264,0.0009154912689061567,0.00010694841192723738
b_z E_z²,12,2.8850238162903126,1.0,0.2648997905751361,0.0009287581679981344,0.002179590789564536,0.0005823561317964068,6.854904612990108e-05
