age,animal,bucket,name,idx,gate,eff_w_norm,coeff_raw,sigma,source,kind
10weeks,Gus,cross,I₈D1D2,42.0,0.0029395,0.0026205,0.0099241,0.26406,/Users/marisabazzi/TEVG/VeinSDF/10weeks/Gus/runsfinal/Gus_final_equation.txt,cross
10weeks,Mojito,iso,I₂-3,1.0,0.94862,0.83205,0.023499,35.408,/Users/marisabazzi/TEVG/VeinSDF/10weeks/Mojito/runsfinal/Mojito_final_equation.txt,cross
10weeks,Mojito,iso,<E_z>,3.0,0.11372,0.086059,0.23469,0.3667,/Users/marisabazzi/TEVG/VeinSDF/10weeks/Mojito/runsfinal/Mojito_final_equation.txt,cross
10weeks,Mojito,iso,<I₂-3>ln(1+<I₂-3>),4.0,0.56847,0.96288,0.0058753,163.89,/Users/marisabazzi/TEVG/VeinSDF/10weeks/Mojito/runsfinal/Mojito_final_equation.txt,cross
10weeks,Mojito,aniso,<I₄z-1>,6.0,0.11936,0.081743,0.11132,0.73432,/Users/marisabazzi/TEVG/VeinSDF/10weeks/Mojito/runsfinal/Mojito_final_equation.txt,cross
10weeks,Mojito,aniso,exp(<I₄z-1>)-1,22.0,0.018669,0.016892,0.0010221,16.526,/Users/marisabazzi/TEVG/VeinSDF/10weeks/Mojito/runsfinal/Mojito_final_equation.txt,cross
10weeks,Mojito,cross,<I₂-3>·<E_z>,35.0,0.54862,0.5283,0.022207,23.789,/Users/marisabazzi/TEVG/VeinSDF/10weeks/Mojito/runsfinal/Mojito_final_equation.txt,cross
10weeks,Mojito,cross,I₈D1D2,42.0,0.49078,0.56456,0.67155,0.84068,/Users/marisabazzi/TEVG/VeinSDF/10weeks/Mojito/runsfinal/Mojito_final_equation.txt,cross
10weeks,Pablo,iso,I₁-3,0.0,0.026838,0.017155,0.00078777,21.776,/Users/marisabazzi/TEVG/VeinSDF/10weeks/Pablo/runsfinal/Pablo_final_equation.txt,cross
10weeks,Pablo,iso,I₂-3,1.0,0.99965,2.3016,0.069802,32.973,/Users/marisabazzi/TEVG/VeinSDF/10weeks/Pablo/runsfinal/Pablo_final_equation.txt,cross
10weeks,Pablo,cross,I₈D1D2,42.0,0.197,0.23055,0.48308,0.47725,/Users/marisabazzi/TEVG/VeinSDF/10weeks/Pablo/runsfinal/Pablo_final_equation.txt,cross
