age_weeks,animal,out_root,source_prefix,source_file,term_group,term,row_label,col_label,value_mpa,value_kpa
3,Lucid,runs_unified,Lucid_variant_f,/Users/marisabazzi/TEVG/VeinSDF/3weeks/Lucid/runs_unified/Lucid_variant_f_small_on_large.txt,C_out,C_thetathetathetatheta,,,0.018423,18.423
3,Rosie,runs_unified,Rosie_variant_f,/Users/marisabazzi/TEVG/VeinSDF/3weeks/Rosie/runs_unified/Rosie_variant_f_small_on_large.txt,C_out,C_thetathetathetatheta,,,0.004545,4.545000000000001
8,Martini,runs_unified,Martini_variant_f,/Users/marisabazzi/TEVG/VeinSDF/8weeks/Martini/runs_unified/Martini_variant_f_small_on_large.txt,C_out,C_thetathetathetatheta,,,0.015337,15.337
10,Gus,runs_unified,Gus_variant_f,/Users/marisabazzi/TEVG/VeinSDF/10weeks/Gus/runs_unified/Gus_variant_f_small_on_large.txt,C_out,C_thetathetathetatheta,,,0.045906,45.906000000000006
10,Mojito,runs_unified_reduced,Mojito_variant_f,/Users/marisabazzi/TEVG/VeinSDF/10weeks/Mojito/runs_unified_reduced/Mojito_variant_f_small_on_large.txt,C_out,C_thetathetathetatheta,,,0.009677,9.677
10,Pablo,runs_unified,Pablo_variant_f,/Users/marisabazzi/TEVG/VeinSDF/10weeks/Pablo/runs_unified/Pablo_variant_f_small_on_large.txt,C_out,C_thetathetathetatheta,,,0.007734,7.734
16,Audi,runs_unified,Audi_variant_f,/Users/marisabazzi/TEVG/VeinSDF/16weeks/Audi/runs_unified/Audi_variant_f_small_on_large.txt,C_out,C_thetathetathetatheta,,,0.020894,20.894
16,Oreon,runs_unified,Orion_variant_f,/Users/marisabazzi/TEVG/VeinSDF/16weeks/Oreon/runs_unified/Orion_variant_f_small_on_large.txt,C_out,C_thetathetathetatheta,,,0.221287,221.287
16,Sagittarius,runs_unified,Original_variant_f,/Users/marisabazzi/TEVG/VeinSDF/16weeks/Sagittarius/runs_unified/Original_variant_f_small_on_large.txt,C_out,C_thetathetathetatheta,,,0.002593,2.593
28,Dodge,runs_unified,Dodge_variant_f,/Users/marisabazzi/TEVG/VeinSDF/28weeks/Dodge/runs_unified/Dodge_variant_f_small_on_large.txt,C_out,C_thetathetathetatheta,,,0.006442,6.442
28,Lexus,runs_unified,lexus_variant_f,/Users/marisabazzi/TEVG/VeinSDF/28weeks/Lexus/runs_unified/lexus_variant_f_small_on_large.txt,C_out,C_thetathetathetatheta,,,0.059998,59.998000000000005
28,Mercedes,runs_unified,Mercedes_variant_f,/Users/marisabazzi/TEVG/VeinSDF/28weeks/Mercedes/runs_unified/Mercedes_variant_f_small_on_large.txt,C_out,C_thetathetathetatheta,,,0.612898,612.898
3,Lucid,runs_unified,Lucid_variant_f,/Users/marisabazzi/TEVG/VeinSDF/3weeks/Lucid/runs_unified/Lucid_variant_f_small_on_large.txt,C_out,C_thetathetazz,,,-0.011685,-11.684999999999999
3,Rosie,runs_unified,Rosie_variant_f,/Users/marisabazzi/TEVG/VeinSDF/3weeks/Rosie/runs_unified/Rosie_variant_f_small_on_large.txt,C_out,C_thetathetazz,,,0.003903,3.9029999999999996
8,Martini,runs_unified,Martini_variant_f,/Users/marisabazzi/TEVG/VeinSDF/8weeks/Martini/runs_unified/Martini_variant_f_small_on_large.txt,C_out,C_thetathetazz,,,0.01409,14.09
10,Gus,runs_unified,Gus_variant_f,/Users/marisabazzi/TEVG/VeinSDF/10weeks/Gus/runs_unified/Gus_variant_f_small_on_large.txt,C_out,C_thetathetazz,,,0.046397,46.397
10,Mojito,runs_unified_reduced,Mojito_variant_f,/Users/marisabazzi/TEVG/VeinSDF/10weeks/Mojito/runs_unified_reduced/Mojito_variant_f_small_on_large.txt,C_out,C_thetathetazz,,,0.010318,10.318000000000001
10,Pablo,runs_unified,Pablo_variant_f,/Users/marisabazzi/TEVG/VeinSDF/10weeks/Pablo/runs_unified/Pablo_variant_f_small_on_large.txt,C_out,C_thetathetazz,,,0.004895,4.8950000000000005
16,Audi,runs_unified,Audi_variant_f,/Users/marisabazzi/TEVG/VeinSDF/16weeks/Audi/runs_unified/Audi_variant_f_small_on_large.txt,C_out,C_thetathetazz,,,0.012977,12.977
16,Oreon,runs_unified,Orion_variant_f,/Users/marisabazzi/TEVG/VeinSDF/16weeks/Oreon/runs_unified/Orion_variant_f_small_on_large.txt,C_out,C_thetathetazz,,,0.043248,43.248000000000005
16,Sagittarius,runs_unified,Original_variant_f,/Users/marisabazzi/TEVG/VeinSDF/16weeks/Sagittarius/runs_unified/Original_variant_f_small_on_large.txt,C_out,C_thetathetazz,,,0.003242,3.242
28,Dodge,runs_unified,Dodge_variant_f,/Users/marisabazzi/TEVG/VeinSDF/28weeks/Dodge/runs_unified/Dodge_variant_f_small_on_large.txt,C_out,C_thetathetazz,,,1.6e-05,0.016
28,Lexus,runs_unified,lexus_variant_f,/Users/marisabazzi/TEVG/VeinSDF/28weeks/Lexus/runs_unified/lexus_variant_f_small_on_large.txt,C_out,C_thetathetazz,,,0.038561,38.561
