param,kind,n,n_ages,best_model,r2_age,aic_age,coeffs,per_age_json
base.aniso._beta_a_raw[0.0],base_param,12,5,constant,0.0,-13.308562773526187,[-0.2465995708333333],"[{""age_weeks"":3,""mean"":-0.335919485,""std"":0.757904604,""count"":2},{""age_weeks"":8,""mean"":0.2,""std"":null,""count"":1},{""age_weeks"":10,""mean"":-0.5145593133,""std"":0.6188265179,""count"":3},{""age_weeks"":16,""mean"":-0.1572796567,""std"":0.6188265179,""count"":3},{""age_weeks"":28,""mean"":-0.1572796567,""std"":0.6188265179,""count"":3}]"
base.aniso._beta_a_raw[1.0],base_param,12,5,constant,0.0,-13.308562773526187,[-0.2465995708333333],"[{""age_weeks"":3,""mean"":-0.335919485,""std"":0.757904604,""count"":2},{""age_weeks"":8,""mean"":0.2,""std"":null,""count"":1},{""age_weeks"":10,""mean"":-0.5145593133,""std"":0.6188265179,""count"":3},{""age_weeks"":16,""mean"":-0.1572796567,""std"":0.6188265179,""count"":3},{""age_weeks"":28,""mean"":-0.1572796567,""std"":0.6188265179,""count"":3}]"
base.aniso._beta_a_raw[2.0],base_param,12,5,constant,0.0,-13.308562773526187,[-0.2465995708333333],"[{""age_weeks"":3,""mean"":-0.335919485,""std"":0.757904604,""count"":2},{""age_weeks"":8,""mean"":0.2,""std"":null,""count"":1},{""age_weeks"":10,""mean"":-0.5145593133,""std"":0.6188265179,""count"":3},{""age_weeks"":16,""mean"":-0.1572796567,""std"":0.6188265179,""count"":3},{""age_weeks"":28,""mean"":-0.1572796567,""std"":0.6188265179,""count"":3}]"
base.aniso._beta_a_raw[3.0],base_param,12,5,constant,0.0,-14.712680851804372,[-0.22122092500000004],"[{""age_weeks"":3,""mean"":-0.30546511,""std"":0.7148356139,""count"":2},{""age_weeks"":8,""mean"":0.2,""std"":null,""count"":1},{""age_weeks"":10,""mean"":-0.47395348,""std"":0.5836608346,""count"":3},{""age_weeks"":16,""mean"":-0.13697674,""std"":0.5836608346,""count"":3},{""age_weeks"":28,""mean"":-0.13697674,""std"":0.5836608346,""count"":3}]"
base.aniso._beta_b_raw[0.0],base_param,12,5,constant,0.0,-20.942240745436983,[-0.12492437500000002],"[{""age_weeks"":3,""mean"":-0.18990925,""std"":0.5514149494,""count"":2},{""age_weeks"":8,""mean"":0.2,""std"":null,""count"":1},{""age_weeks"":10,""mean"":-0.319879,""std"":0.4502284209,""count"":3},{""age_weeks"":16,""mean"":-0.0599395,""std"":0.4502284209,""count"":3},{""age_weeks"":28,""mean"":-0.0599395,""std"":0.4502284209,""count"":3}]"
base.aniso._beta_b_raw[1.0],base_param,12,5,constant,-2.220446049250313e-16,-24.584914425871546,[-0.07916817916666666],"[{""age_weeks"":3,""mean"":-0.135001815,""std"":0.4737641102,""count"":2},{""age_weeks"":8,""mean"":0.2,""std"":null,""count"":1},{""age_weeks"":10,""mean"":-0.2466690867,""std"":0.3868267761,""count"":3},{""age_weeks"":16,""mean"":-0.0233345433,""std"":0.3868267761,""count"":3},{""age_weeks"":28,""mean"":-0.0233345433,""std"":0.3868267761,""count"":3}]"
base.aniso._beta_b_raw[2.0],base_param,12,5,constant,-2.220446049250313e-16,-48.12081171967277,[0.09529446250000002],"[{""age_weeks"":3,""mean"":0.074353355,""std"":0.1776911894,""count"":2},{""age_weeks"":8,""mean"":0.2,""std"":null,""count"":1},{""age_weeks"":10,""mean"":0.03247114,""std"":0.1450842486,""count"":3},{""age_weeks"":16,""mean"":0.11623557,""std"":0.1450842486,""count"":3},{""age_weeks"":28,""mean"":0.11623557,""std"":0.1450842486,""count"":3}]"
base.aniso._beta_b_raw[3.0],base_param,12,5,constant,0.0,-6.8302404843210525,[-0.3849886666666667],"[{""age_weeks"":3,""mean"":-0.5019864,""std"":0.9927586875,""count"":2},{""age_weeks"":8,""mean"":0.2,""std"":null,""count"":1},{""age_weeks"":10,""mean"":-0.7359818667,""std"":0.810584074,""count"":3},{""age_weeks"":16,""mean"":-0.2679909333,""std"":0.810584074,""count"":3},{""age_weeks"":28,""mean"":-0.2679909333,""std"":0.810584074,""count"":3}]"
base.aniso._k1[0.0],base_param,12,5,constant,0.0,46.98195761418262,[3.1960861295583336],"[{""age_weeks"":3,""mean"":6.9427649825,""std"":4.1847746765,""count"":2},{""age_weeks"":8,""mean"":10.30027128,""std"":null,""count"":1},{""age_weeks"":10,""mean"":-1.6218318108,""std"":4.5116897638,""count"":3},{""age_weeks"":16,""mean"":0.9325452717,""std"":4.5871771677,""count"":3},{""age_weeks"":28,""mean"":5.411697309,""std"":10.7447582598,""count"":3}]"
base.aniso._k1[1.0],base_param,12,5,constant,0.0,46.98195761418262,[3.1960861295583336],"[{""age_weeks"":3,""mean"":6.9427649825,""std"":4.1847746765,""count"":2},{""age_weeks"":8,""mean"":10.30027128,""std"":null,""count"":1},{""age_weeks"":10,""mean"":-1.6218318108,""std"":4.5116897638,""count"":3},{""age_weeks"":16,""mean"":0.9325452717,""std"":4.5871771677,""count"":3},{""age_weeks"":28,""mean"":5.411697309,""std"":10.7447582598,""count"":3}]"
