animal,age_weeks,param,index,value,kind
Gus,10,w[I₁-3],,0.02416080557,cross_weight
Gus,10,w[I₂-3],,0.01554462464,cross_weight
Gus,10,w[<I₂-3>ln(1+<I₂-3>)],,0.01058333253,cross_weight
Gus,10,w[<I₄θ-1>],,0.03011201964,cross_weight
Gus,10,w[<I₄z-1>],,0.01951008639,cross_weight
Gus,10,w[<I₄D1-1>],,0.0216926205,cross_weight
Gus,10,w[<I₄D2-1>],,0.0216926205,cross_weight
Gus,10,w[(<I₄θ-1>)³],,0.00582745967,cross_weight
Gus,10,w[<I₂-3>·<E_z>],,0.01657035797,cross_weight
Gus,10,w[I₈D1D2],,0.02015952762,cross_weight
Gus,10,base.iso._bth,,-3.912302268,base_param
Gus,10,base.iso._bz,,1.438612332,base_param
Gus,10,base.iso.bthz,,0.6789850745,base_param
Gus,10,base.aniso._α,,1.203154359,base_param
Gus,10,base.aniso._k1,0.0,2.248071359,base_param
Gus,10,base.aniso._k1,1.0,2.248071359,base_param
Gus,10,base.aniso._k1,2.0,-8.212499721,base_param
Gus,10,base.aniso._k1,3.0,-0.1273626074,base_param
Gus,10,base.aniso._k2,0.0,1.768272343,base_param
Gus,10,base.aniso._k2,1.0,1.768272343,base_param
Gus,10,base.aniso._k2,2.0,7.41771963,base_param
Gus,10,base.aniso._k2,3.0,1.258680839,base_param
Gus,10,base.aniso._lam0_raw,0.0,-2.0,base_param
Gus,10,base.aniso._lam0_raw,1.0,-2.0,base_param
Gus,10,base.aniso._lam0_raw,2.0,-2.0,base_param
Gus,10,base.aniso._lam0_raw,3.0,-2.0,base_param
Gus,10,base.aniso._lam0h_raw,0.0,-2.8,base_param
Gus,10,base.aniso._lam0h_raw,1.0,-2.8,base_param
Gus,10,base.aniso._kappa,0.0,-1.852156304,base_param
Gus,10,base.aniso._kappa,1.0,-1.852156304,base_param
Gus,10,base.aniso._tau_raw,0.0,3.073653055,base_param
Gus,10,base.aniso._tau_raw,1.0,3.073653055,base_param
Gus,10,base.aniso._tau_raw,2.0,-0.7025815963,base_param
Gus,10,base.aniso._tau_raw,3.0,-0.2396401416,base_param
Gus,10,base.aniso._sigma_s_raw,0.0,-2.0,base_param
Gus,10,base.aniso._sigma_s_raw,1.0,-2.0,base_param
Gus,10,base.aniso._sigma_s_raw,2.0,-2.0,base_param
Gus,10,base.aniso._sigma_s_raw,3.0,-2.0,base_param
Gus,10,base.aniso._lambda_lb_raw,0.0,-0.4621241031,base_param
Gus,10,base.aniso._lambda_lb_raw,1.0,-0.4621241031,base_param
Gus,10,base.aniso._lambda_lb_raw,2.0,-0.7920560779,base_param
Gus,10,base.aniso._lambda_lb_raw,3.0,-1.014062857,base_param
Gus,10,base.aniso._lambda_ub_raw,0.0,0.3901057236,base_param
Gus,10,base.aniso._lambda_ub_raw,1.0,0.3901057236,base_param
Gus,10,base.aniso._lambda_ub_raw,2.0,0.2260623436,base_param
Gus,10,base.aniso._lambda_ub_raw,3.0,1.758610351,base_param
Gus,10,base.aniso._logn_mu_raw,0.0,-2.01234979,base_param
Gus,10,base.aniso._logn_mu_raw,1.0,-2.01234979,base_param
Gus,10,base.aniso._logn_mu_raw,2.0,-1.354374853,base_param
